product_id,product_name,category,subcategory,brand,price,product_currency,product_stock_quantity,product_weight_kg,dimensions_cm,color,material,description,launch_date,discontinued,product_created_timestamp,product_price_segment,product_stock_status,days_since_launch,product_lifecycle_stage,volume_cm3,density_kg_per_cm3,total_orders,total_revenue,unique_customers,performance_category,product_lifecycle,effective_date,expiry_date,is_current
PROD007,Bluetooth Speaker,Electronics,Audio,SoundMax,229.99,USD,180,1.50,25x15x10,Red,Plastic,Portable Bluetooth speaker with deep bass,2024-07-25,false,2025-01-15T14:40:27Z,Premium,High Stock,501,Mature,3750,0.0004,1,229.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD010,Yoga Mat,Sports & Fitness,Exercise,FlexFit,129.99,USD,120,1.80,180x60x1,Purple,Rubber,Non-slip yoga mat with carrying strap,2024-10-20,false,2025-01-15T17:45:50Z,Mid-range,High Stock,414,Mature,10800,0.00016666666666666666,1,129.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD004,Stainless Steel Water Bottle,Home & Garden,Kitchen,HydroLife,199.99,USD,300,0.50,25x8x8,Silver,Steel,Insulated stainless steel water bottle,2024-04-05,false,2025-01-15T11:20:44Z,Premium,High Stock,612,Mature,1600,0.0003125,1,199.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD005,LED Desk Lamp,Home & Garden,Lighting,BrightTech,79.99,USD,100,1.20,35x20x15,White,Plastic,Adjustable LED desk lamp with USB charging,2024-05-12,false,2025-01-15T12:10:55Z,Mid-range,High Stock,575,Mature,10500,0.00011428571428571428,1,79.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD008,Ceramic Coffee Mug,Home & Garden,Kitchen,CoffeeCraft,99.99,USD,400,0.30,12x10x10,White,Ceramic,Handcrafted ceramic coffee mug,2024-08-30,false,2025-01-15T15:55:38Z,Mid-range,High Stock,465,Mature,1200,0.00025,1,99.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD017,Wireless Earbuds,Electronics,Audio,SoundMax,189.99,USD,220,0.10,6x4x3,White,Plastic,True wireless earbuds with active noise cancellation,2025-01-05,false,2025-01-15T00:00:07Z,Premium,High Stock,337,Growth,72,0.001388888888888889,1,189.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD019,Smart Scale,Sports & Fitness,Health,FitTech,159.99,USD,100,2.00,30x30x3,Black,Glass,Smart body composition scale with app sync,2025-01-07,false,2025-01-15T02:30:29Z,Premium,High Stock,335,Growth,2700,0.0007407407407407407,1,159.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD013,Resistance Bands Set,Sports & Fitness,Exercise,FlexFit,149.99,USD,90,0.50,30x20x5,Multi-color,Latex,Set of 5 resistance bands with door anchor,2025-01-01,false,2025-01-15T20:50:23Z,Mid-range,High Stock,341,Growth,3000,0.00016666666666666666,1,149.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD002,Smart Fitness Watch,Electronics,Wearables,FitTech,149.50,USD,200,0.10,4x4x1,Silver,Aluminum,Advanced fitness tracking with heart rate monitor,2024-02-20,false,2025-01-15T09:15:22Z,Mid-range,High Stock,657,Mature,16,0.00625,1,149.50,1,Low Performer,Stagnant,2025-12-08,null,true
PROD001,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,299.99,USD,150,0.30,20x15x8,Black,Plastic,High-quality wireless headphones with noise cancellation,2024-01-15,false,2025-01-15T08:30:15Z,Premium,High Stock,693,Mature,2400,0.000125,1,299.99,1,Low Performer,Stagnant,2025-12-08,null,true
P007,LED Desk Lamp,Furniture,Lighting,BrightTech,49.99,USD,56,1.20,35x25x15,White,Metal,Adjustable LED desk lamp with USB charging port,2024-06-10,false,2025-01-16T14:40:27Z,Budget,High Stock,546,Mature,13125,0.00009142857142857142,1,178.50,1,Low Performer,Stagnant,2025-12-08,null,true
P003,Ergonomic Office Chair,Furniture,Seating,ComfortPro,299.99,USD,18,12.50,60x60x120,Black,Mesh,Professional ergonomic office chair with lumbar support,2024-01-20,false,2025-01-16T10:45:33Z,Premium,Medium Stock,688,Mature,432000,0.000028935185185185186,3,413.99,3,Low Performer,Stagnant,2025-12-08,null,true
P006,Bluetooth Speaker,Electronics,Audio,SoundMax,129.99,USD,23,0.80,15x10x5,Red,Plastic,Portable Bluetooth speaker with 20W output and 12-hour battery,2024-05-01,false,2025-01-16T13:25:16Z,Mid-range,Medium Stock,586,Mature,750,0.0010666666666666667,2,546.95,2,Low Performer,Stagnant,2025-12-08,null,true
P004,Stainless Steel Water Bottle,Home & Kitchen,Hydration,HydroMax,24.99,USD,67,0.40,20x7x7,Silver,Stainless Steel,"Insulated stainless steel water bottle, keeps drinks cold for 24 hours",2024-03-10,false,2025-01-16T11:20:44Z,Budget,High Stock,638,Mature,980,0.00040816326530612246,3,336.75,3,Low Performer,Stagnant,2025-12-08,null,true
P002,Smart Fitness Tracker,Electronics,Wearables,FitTech,79.99,USD,32,0.10,4x2x1,Blue,Silicon,Advanced fitness tracker with heart rate monitoring,2024-02-01,false,2025-01-16T09:15:22Z,Mid-range,Medium Stock,676,Mature,8,0.0125,3,236.29,3,Low Performer,Stagnant,2025-12-08,null,true
P001,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,89.99,USD,45,0.30,25x20x8,Black,Plastic,High-quality wireless headphones with noise cancellation,2024-01-15,false,2025-01-16T08:30:15Z,Mid-range,Medium Stock,693,Mature,4000,0.000075,3,415.23,3,Low Performer,Stagnant,2025-12-08,null,true
P008,Smart Doorbell,Electronics,Security,SafeHome,199.99,USD,12,0.60,12x4x4,Black,Plastic,WiFi-enabled smart doorbell with HD video and two-way audio,2024-07-20,false,2025-01-16T15:55:38Z,Premium,Medium Stock,506,Mature,192,0.0031249999999999997,1,156.80,1,Low Performer,Stagnant,2025-12-08,null,true
P009,Mechanical Gaming Keyboard,Electronics,Gaming,GameMax,149.99,USD,34,1.10,45x15x3,RGB,Plastic,RGB mechanical gaming keyboard with customizable backlighting,2024-08-05,false,2025-01-16T16:30:49Z,Mid-range,Medium Stock,490,Mature,2025,0.0005432098765432099,1,289.99,1,Low Performer,Stagnant,2025-12-08,null,true
P005,Wireless Charging Pad,Electronics,Accessories,ChargeTech,39.99,USD,89,0.20,10x10x1,White,Plastic,Fast wireless charging pad compatible with all Qi-enabled devices,2024-04-15,false,2025-01-16T12:10:55Z,Budget,High Stock,602,Mature,100,0.002,3,658.49,3,Low Performer,Stagnant,2025-12-08,null,true
